_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
2252,202500000967161,SOF25-1822,2025-07-02 14:10:00,2025,14:10:00,Wednesday,621,1XXXX North 19th Avenue,Phoenix,AZ,85029.0,Desert Horizon Precinct,67509.0,Male,31.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2253,202500000969034,SOF25-1838,2025-07-02 21:28:00,2025,21:28:00,Wednesday,736,3X West Willetta Street,Phoenix,AZ,85003.0,Mountain View Precinct,67565.0,Male,56.0,50s,White,Hispanic,White,Criminal Felony,Impact Munitions,1
2254,202500000967975,SOF25-1910,2025-07-02 16:51:00,2025,16:51:00,Wednesday,723,3XXX East Virginia Avenue,Phoenix,AZ,85008.0,Mountain View Precinct,67257.0,Male,25.0,20s,Black,Hispanic,Black or African American,Criminal Felony,Gun,1
2255,202500000968801,SOF25-1912,2025-07-02 19:50:00,2025,19:50:00,Wednesday,723,2XXX West Pierson Street,Phoenix,AZ,85017.0,Cactus Park Precinct,67757.0,Male,39.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
2256,202500000969840,SOF25-1739,2025-07-03 01:12:00,2025,01:12:00,Thursday,911,4XXX North 27th Avenue,Phoenix,AZ,85017.0,Cactus Park Precinct,63541.0,Male,51.0,50s,White,Non-Hispanic,White,No Charge,Gun,1
2257,202500000969840,SOF25-1739,2025-07-03 01:12:00,2025,01:12:00,Thursday,911,4XXX North 27th Avenue,Phoenix,AZ,85017.0,Cactus Park Precinct,67252.0,Male,33.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2258,202500000972079,SOF25-1754,2025-07-03 13:20:00,2025,13:20:00,Thursday,422,1XXX East Wier Avenue,Phoenix,AZ,85040.0,South Mountain Precinct,67307.0,Male,33.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
2259,202500000970249,SOF25-1756,2025-07-03 14:30:00,2025,14:30:00,Thursday,422,4XXX South 9th Street,Phoenix,AZ,85040.0,South Mountain Precinct,67314.0,Female,40.0,40s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
2260,202500000972099,SOF25-1757,2025-07-03 13:38:00,2025,13:38:00,Thursday,825,4XXX West Mcdowell Road,Phoenix,AZ,85009.0,Maryvale/Estrella Precinct,30667.0,Male,25.0,20s,White,Hispanic,Hispanic,No Charge,Gun,1
2261,202500000973452,SOF25-1758,2025-07-03 18:49:00,2025,18:49:00,Thursday,815,7XXX West Mcdowell Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,67316.0,Male,26.0,20s,White,Hispanic,White,Criminal Misdemeanor,Gun,1
