_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
1,202500000255424,SOF25-0005,2025-02-18 23:11:00,2025,23:11:00,Tuesday,Maricopa,1XXXX West Rancho Santa Fe Boulevard,Avondale,AZ,85392.0,Out of City,44041.0,Male,30.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2,202500000193276,SOF25-0006,2025-02-18 13:50:00,2025,13:50:00,Tuesday,721,6XXX West Mcdowell Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61390.0,Male,29.0,20s,White,Hispanic,White,No Charge,Gun,1
3,202500000252010,SOF25-0007,2025-02-18 11:13:00,2025,11:13:00,Tuesday,731,2XXX West Heatherbrae Drive,Phoenix,AZ,85015.0,Mountain View Precinct,61392.0,Male,45.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
4,202500000252106,SOF25-0010,2025-02-18 12:44:00,2025,12:44:00,Tuesday,213,4XXX East Maya Way,Cave Creek,AZ,85331.0,Black Mountain Precinct,61423.0,Male,53.0,50s,White,Hispanic,White,Criminal Felony,Gun,1
5,202500000189932,SOF25-0023,2025-02-18 12:45:00,2025,12:45:00,Tuesday,431,4XXX South 32nd Street,Phoenix,AZ,85040.0,South Mountain Precinct,61465.0,Male,19.0,<20,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
6,202500000087063,SOF25-0027,2025-02-18 17:15:00,2025,17:15:00,Tuesday,621,1XXXX North 28th Drive,Phoenix,AZ,85029.0,Cactus Park Precinct,61474.0,Female,19.0,<20,White,Non-Hispanic,White,Criminal Felony,Gun,1
7,202500000087063,SOF25-0027,2025-02-18 17:15:00,2025,17:15:00,Tuesday,621,1XXXX North 28th Drive,Phoenix,AZ,85029.0,Cactus Park Precinct,61478.0,Male,23.0,20s,White,Hispanic,White,No Charge,Gun,1
8,202500000252086,SOF25-0048,2025-02-18 11:30:00,2025,11:30:00,Tuesday,822,3XXX North Maryvale Parkway,Phoenix,AZ,85031.0,Maryvale/Estrella Precinct,61567.0,Male,38.0,30s,White,Hispanic,White,Criminal Felony,Impact Munitions,1
9,202500000253079,SOF25-0050,2025-02-18 15:05:00,2025,15:05:00,Tuesday,831,2XXX South 83rd Avenue,Tolleson,AZ,85043.0,Maryvale/Estrella Precinct,61573.0,Male,43.0,40s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
10,202500000252554,SOF25-0051,2025-02-18 15:04:00,2025,15:04:00,Tuesday,812,2XXX North 83rd Drive,Phoenix,AZ,85037.0,Maryvale/Estrella Precinct,61584.0,Male,33.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
11,202500000250443,SOF25-0063,2025-02-18 01:28:00,2025,01:28:00,Tuesday,413,2XXX West Broadway Road,Phoenix,AZ,85041.0,South Mountain Precinct,61637.0,Male,34.0,30s,White,Non-Hispanic,White,Traffic Criminal,Gun,1
12,202500000250345,SOF25-0069,2025-02-18 01:23:00,2025,01:23:00,Tuesday,824,X 43rd Ave & W I-10 Frwy,Phoenix,AZ,,Maryvale/Estrella Precinct,61672.0,Male,23.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
13,202500000251870,SOF25-0087,2025-02-18 12:05:00,2025,12:05:00,Tuesday,Maricopa,2XXX South Alma School Road,Mesa,AZ,85210.0,Out of City,61719.0,Male,38.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
14,202500000253629,SOF25-0088,2025-02-18 16:30:00,2025,16:30:00,Tuesday,621,1XXX West Sahuaro Drive,Phoenix,AZ,85029.0,Desert Horizon Precinct,61729.0,Female,21.0,20s,White,Non-Hispanic,White,No Charge,Gun,1
15,202500000250716,SOF25-0548,2025-02-18 05:53:00,2025,05:53:00,Tuesday,423,2XXX East Magnolia Street,Phoenix,AZ,85034.0,South Mountain Precinct,63150.0,,42.0,40s,,,Other,No Charge,Gun,1
16,202500000259826,SOF25-0009,2025-02-19 19:11:00,2025,19:11:00,Wednesday,921,2XXX West Northern Avenue,Phoenix,AZ,85035.0,Cactus Park Precinct,24541.0,Female,35.0,30s,American Indian / Alaskan Native,Non-Hispanic,Other,No Charge,Irritants,1
17,202500000259826,SOF25-0009,2025-02-19 19:11:00,2025,19:11:00,Wednesday,921,2XXX West Northern Avenue,Phoenix,AZ,85035.0,Cactus Park Precinct,45281.0,Male,28.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Irritants,1
18,202500000259826,SOF25-0009,2025-02-19 19:11:00,2025,19:11:00,Wednesday,921,2XXX West Northern Avenue,Phoenix,AZ,85035.0,Cactus Park Precinct,61419.0,Female,32.0,30s,White,Non-Hispanic,White,No Charge,Irritants,1
19,202500000259826,SOF25-0009,2025-02-19 19:11:00,2025,19:11:00,Wednesday,921,2XXX West Northern Avenue,Phoenix,AZ,85035.0,Cactus Park Precinct,61421.0,Male,42.0,40s,White,Non-Hispanic,White,No Charge,Irritants,1
20,202500000258910,SOF25-0011,2025-02-19 16:46:00,2025,16:46:00,Wednesday,924,3XXX West Clinton Street,Phoenix,AZ,85029.0,Cactus Park Precinct,61430.0,Male,42.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
21,202500000256466,SOF25-0012,2025-02-19 07:27:00,2025,07:27:00,Wednesday,232,1XXXX North 25th Street,Phoenix,AZ,85032.0,Black Mountain Precinct,61428.0,Male,29.0,20s,White,Non-Hispanic,White,Criminal Misdemeanor,Taser,1
22,202500000258444,SOF25-0013,2025-02-19 15:37:00,2025,15:37:00,Wednesday,921,3XXX West Northern Avenue,Phoenix,AZ,85301.0,Cactus Park Precinct,61432.0,Male,54.0,50s,White,Hispanic,White,No Charge,Gun,1
23,202500000260033,SOF25-0014,2025-02-19 20:02:00,2025,20:02:00,Wednesday,223,1X East Bell Road,Phoenix,AZ,85022.0,Black Mountain Precinct,61434.0,Male,20.0,20s,White,Hispanic,White,Criminal Felony,Gun,1
24,202500000260864,SOF25-0015,2025-02-19 23:30:00,2025,23:30:00,Wednesday,736,1XXX East Mcdowell Road,Phoenix,AZ,85006.0,Mountain View Precinct,61441.0,Male,49.0,40s,White,Non-Hispanic,White,No Charge,Impact Munitions,1
25,202500000157397,SOF25-0016,2025-02-19 22:25:00,2025,22:25:00,Wednesday,731,2XXX West Indian School Road,Phoenix,AZ,85015.0,Mountain View Precinct,61443.0,,0.0,<20,,,Other,No Charge,Gun,1
26,202500000227461,SOF25-0017,2025-02-19 15:33:00,2025,15:33:00,Wednesday,515,1XX West Papago Street,Phoenix,AZ,85003.0,South Mountain Precinct,28365.0,Female,36.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
27,202500000227461,SOF25-0017,2025-02-19 15:33:00,2025,15:33:00,Wednesday,515,1XX West Papago Street,Phoenix,AZ,85003.0,South Mountain Precinct,61446.0,Male,28.0,20s,White,Hispanic,White,Criminal Felony,Gun,1
28,202500000227461,SOF25-0017,2025-02-19 15:33:00,2025,15:33:00,Wednesday,515,1XX West Papago Street,Phoenix,AZ,85003.0,South Mountain Precinct,61451.0,Female,26.0,20s,White,Hispanic,White,Criminal Felony,Gun,1
29,202500000260523,SOF25-0018,2025-02-19 22:25:00,2025,22:25:00,Wednesday,731,2XXX West Indian School Road,Phoenix,AZ,85015.0,Mountain View Precinct,61450.0,Male,28.0,20s,White,Hispanic,White,No Charge,Gun,1
30,202500000256052,SOF25-0020,2025-02-19 05:29:00,2025,05:29:00,Wednesday,413,1XXX West Broadway Road,Phoenix,AZ,85041.0,South Mountain Precinct,61453.0,Male,47.0,40s,Black,Non-Hispanic,Black or African American,Criminal Misdemeanor,Gun,1
31,202500000257404,SOF25-0022,2025-02-19 11:40:00,2025,11:40:00,Wednesday,711,2XXX East Camelback Road,Phoenix,AZ,85016.0,Mountain View Precinct,61463.0,Male,41.0,40s,White,Hispanic,White,Criminal Misdemeanor,Taser,1
32,202500000257570,SOF25-0024,2025-02-19 11:43:00,2025,11:43:00,Wednesday,736,5XX West Monte Vista Road,Phoenix,AZ,85003.0,Mountain View Precinct,61467.0,Male,44.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
33,202500000258486,SOF25-0026,2025-02-19 15:01:00,2025,15:01:00,Wednesday,734,1XXX West Lynwood Street,Phoenix,AZ,85007.0,Mountain View Precinct,61471.0,Male,31.0,30s,Black,Non-Hispanic,Black or African American,Criminal Misdemeanor,Gun,1
34,202500000259290,SOF25-0028,2025-02-19 17:26:00,2025,17:26:00,Wednesday,513,1XXX North 7th Street,Phoenix,AZ,85006.0,Central City Precinct,61459.0,Male,65.0,60s,Black,Non-Hispanic,Black or African American,No Charge,Impact Munitions,1
35,202500000251438,SOF25-0042,2025-02-19 20:22:00,2025,20:22:00,Wednesday,224,1XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,35340.0,Male,30.0,30s,White,Hispanic,Hispanic,Criminal Felony,Impact Munitions,1
36,202500000243089,SOF25-0054,2025-02-19 06:35:00,2025,06:35:00,Wednesday,813,7XXX West Hazelwood Street,Phoenix,AZ,85033.0,Maryvale/Estrella Precinct,61612.0,Male,37.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
37,202500000257408,SOF25-0058,2025-02-19 11:02:00,2025,11:02:00,Wednesday,825,1XXX North Black Canyon Highway,Phoenix,AZ,85009.0,Maryvale/Estrella Precinct,46997.0,Female,28.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
38,202500000257408,SOF25-0058,2025-02-19 11:02:00,2025,11:02:00,Wednesday,825,1XXX North Black Canyon Highway,Phoenix,AZ,85009.0,Maryvale/Estrella Precinct,61618.0,Female,20.0,20s,White,,White,No Charge,Gun,1
39,202500000257408,SOF25-0058,2025-02-19 11:02:00,2025,11:02:00,Wednesday,825,1XXX North Black Canyon Highway,Phoenix,AZ,85009.0,Maryvale/Estrella Precinct,61620.0,Male,33.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
40,202500000255818,SOF25-0082,2025-02-19 03:21:00,2025,03:21:00,Wednesday,831,5XXX West Latham Street,Phoenix,AZ,85043.0,Maryvale/Estrella Precinct,61696.0,Male,50.0,50s,White,Hispanic,White,No Charge,Taser,1
41,202500000255668,SOF25-0094,2025-02-19 00:35:00,2025,00:35:00,Wednesday,414,6XXX South 16th Avenue,Phoenix,AZ,85041.0,South Mountain Precinct,61756.0,Male,0.0,<20,White,Non-Hispanic,White,No Charge,Gun,1
42,202500000150608,SOF25-0152,2025-02-19 15:04:00,2025,15:04:00,Wednesday,Maricopa,2XXX North Litchfield Road,Goodyear,AZ,85395.0,Out of City,61942.0,Male,49.0,40s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
43,202500000257408,SOF25-0162,2025-02-19 15:26:00,2025,15:26:00,Wednesday,825,2XXX West Thomas Road,Phoenix,AZ,85017.0,Maryvale/Estrella Precinct,61978.0,Male,48.0,40s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
44,202500000261031,SOF25-0021,2025-02-20 00:41:00,2025,00:41:00,Thursday,421,1XXX South 16th Street,Phoenix,AZ,85034.0,Central City Precinct,61457.0,Male,29.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
45,202500000261232,SOF25-0025,2025-02-20 03:00:00,2025,03:00:00,Thursday,412,2XXX West Madison Street,Phoenix,AZ,85009.0,Central City Precinct,61469.0,Male,48.0,40s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
46,202500000263866,SOF25-0030,2025-02-20 15:10:00,2025,15:10:00,Thursday,923,2XXX West Puget Avenue,Phoenix,AZ,85051.0,Cactus Park Precinct,61499.0,Male,35.0,30s,White,Non-Hispanic,White,No Charge,Impact Munitions,1
47,202500000264137,SOF25-0031,2025-02-20 15:58:00,2025,15:58:00,Thursday,913,5XXX N. 39th Dr.,Phoenix,AZ,85019.0,Cactus Park Precinct,61501.0,Male,20.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
48,202500000266037,SOF25-0032,2025-02-20 22:33:00,2025,22:33:00,Thursday,911,4XXX North 27th Avenue,Phoenix,AZ,85017.0,Cactus Park Precinct,27538.0,Female,31.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
49,202500000263239,SOF25-0033,2025-02-20 13:15:00,2025,13:15:00,Thursday,723,3XXX East Thomas Road,Phoenix,AZ,85018.0,Mountain View Precinct,61503.0,Male,55.0,50s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
50,202500000264377,SOF25-0036,2025-02-20 16:55:00,2025,16:55:00,Thursday,734,1XXX West Thomas Road,Phoenix,AZ,85031.0,Mountain View Precinct,61511.0,Male,35.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
51,202500000262860,SOF25-0038,2025-02-20 11:50:00,2025,11:50:00,Thursday,731,1XXX West Indian School Road,Phoenix,AZ,85015.0,Mountain View Precinct,61513.0,Male,46.0,40s,White,Hispanic,White,No Charge,Gun,1
52,202500000262044,SOF25-0043,2025-02-20 09:38:00,2025,09:38:00,Thursday,511,,,AZ,,Central City Precinct,61556.0,Male,37.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Taser,1
53,202500000262518,SOF25-0047,2025-02-20 11:30:00,2025,11:30:00,Thursday,814,6XXX West Clarendon Avenue,Phoenix,AZ,85033.0,Maryvale/Estrella Precinct,29236.0,Female,45.0,40s,White,Hispanic,Hispanic,Criminal Felony,Gun,1
54,202500000260945,SOF25-0059,2025-02-20 00:00:00,2025,00:00:00,Thursday,832,,,AZ,,Maryvale/Estrella Precinct,61623.0,Male,33.0,30s,Black,Non-Hispanic,Black or African American,Criminal Misdemeanor,Impact Munitions,1
55,202500000265342,SOF25-0060,2025-02-20 20:17:00,2025,20:17:00,Thursday,423,2XXX East Chipman Road,Phoenix,AZ,85040.0,South Mountain Precinct,59960.0,Male,42.0,40s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
56,202500000265679,SOF25-0066,2025-02-20 20:57:00,2025,20:57:00,Thursday,821,6XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61651.0,Male,15.0,<20,White,Hispanic,White,Criminal Felony,Gun,1
57,202500000265679,SOF25-0066,2025-02-20 20:57:00,2025,20:57:00,Thursday,821,6XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61654.0,Male,71.0,70s,White,Hispanic,White,No Charge,Gun,1
58,202500000265679,SOF25-0066,2025-02-20 20:57:00,2025,20:57:00,Thursday,821,6XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61656.0,Female,37.0,30s,White,Hispanic,White,No Charge,Gun,1
59,202500000265679,SOF25-0066,2025-02-20 20:57:00,2025,20:57:00,Thursday,821,6XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61660.0,Male,38.0,30s,White,Hispanic,White,No Charge,Gun,1
60,202500000260952,SOF25-0096,2025-02-20 00:06:00,2025,00:06:00,Thursday,622,1XXX East Eva Street,Phoenix,AZ,85020.0,Desert Horizon Precinct,61759.0,Male,60.0,60s,White,Non-Hispanic,White,Criminal Felony,Gun,1
61,202400001862854,SOF25-0174,2025-02-20 16:00:00,2025,16:00:00,Thursday,223,1XXXX North 2nd Street,Phoenix,AZ,85022.0,Black Mountain Precinct,62029.0,Male,33.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
62,202400001833777,SOF25-0340,2025-02-20 12:30:00,2025,12:30:00,Thursday,Maricopa,2XXX North Comanche Drive,Chandler,AZ,85224.0,Out of City,62559.0,Male,27.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
63,202500000262258,SOF25-0481,2025-02-20 09:25:00,2025,09:25:00,Thursday,922,8XXX North 27th Avenue,Phoenix,AZ,85051.0,Cactus Park Precinct,54837.0,Male,31.0,30s,White,Hispanic,Hispanic,Criminal Felony,Gun,1
64,202500000266705,SOF25-0034,2025-02-21 04:15:00,2025,04:15:00,Friday,Maricopa,2XXX West Bethany Home Road,Phoenix,AZ,85017.0,Cactus Park Precinct,18446.0,Male,26.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
65,202500000266508,SOF25-0035,2025-02-21 01:33:00,2025,01:33:00,Friday,731,2XXX West Glenrosa Avenue,Phoenix,AZ,85013.0,Mountain View Precinct,56810.0,Female,30.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
66,202500000266508,SOF25-0035,2025-02-21 01:33:00,2025,01:33:00,Friday,731,2XXX West Glenrosa Avenue,Phoenix,AZ,85013.0,Mountain View Precinct,61509.0,,,,,,Other,No Charge,Gun,1
67,202500000268111,SOF25-0039,2025-02-21 11:17:00,2025,11:17:00,Friday,713,2XXX East Indian School Road,Phoenix,AZ,85016.0,Mountain View Precinct,61524.0,Male,36.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
68,202500000143710,SOF25-0040,2025-02-21 14:00:00,2025,14:00:00,Friday,Maricopa,1XXX South Val Vista Drive,Mesa,AZ,85204.0,Out of City,61526.0,Male,33.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
69,202500000266530,SOF25-0041,2025-02-21 02:43:00,2025,02:43:00,Friday,924,1XXXX N Metro Park Way,Phoenix,AZ,85051.0,Cactus Park Precinct,61552.0,Male,26.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Taser,1
70,202500000268453,SOF25-0045,2025-02-21 12:21:00,2025,12:21:00,Friday,911,3XXX West Glenrosa Avenue,Phoenix,AZ,85013.0,Cactus Park Precinct,61560.0,Male,21.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
71,202500000270163,SOF25-0070,2025-02-21 17:50:00,2025,17:50:00,Friday,711,5XXX North 25th Street,Phoenix,AZ,85016.0,Mountain View Precinct,61676.0,Male,37.0,30s,White,Non-Hispanic,White,No Charge,Impact Munitions,1
72,202500000271002,SOF25-0071,2025-02-21 20:25:00,2025,20:25:00,Friday,726,3XXX East Taylor Street,Phoenix,AZ,85008.0,Mountain View Precinct,61679.0,Male,19.0,<20,White,Hispanic,White,Criminal Felony,Gun,1
73,202500000269198,SOF25-0083,2025-02-21 16:30:00,2025,16:30:00,Friday,821,5XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61700.0,Male,38.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
74,202500000269198,SOF25-0083,2025-02-21 16:30:00,2025,16:30:00,Friday,821,5XXX West Granada Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61703.0,Female,39.0,30s,White,Hispanic,White,No Charge,Gun,1
75,202500000270562,SOF25-0084,2025-02-21 19:06:00,2025,19:06:00,Friday,814,7XXX West Osborn Road,Phoenix,AZ,85033.0,Maryvale/Estrella Precinct,31961.0,Male,25.0,20s,White,Hispanic,Hispanic,Criminal Felony,Gun,1
76,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,24840.0,Male,40.0,40s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
77,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,58928.0,Male,54.0,50s,American Indian / Alaskan Native,Non-Hispanic,Other,Criminal Felony,Gun,1
78,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62031.0,Female,33.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
79,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62033.0,Female,23.0,20s,White,Non-Hispanic,White,Criminal Felony,Gun,1
80,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62035.0,Male,28.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
81,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62037.0,Male,31.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
82,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62039.0,Male,19.0,<20,White,Non-Hispanic,White,Criminal Felony,Gun,1
83,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62041.0,Male,34.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
84,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62043.0,Male,41.0,40s,White,Non-Hispanic,White,Criminal Felony,Gun,1
85,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62048.0,Female,45.0,40s,,Non-Hispanic,Other,No Charge,Gun,1
86,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,62050.0,Female,30.0,30s,White,Non-Hispanic,White,Criminal Misdemeanor,Gun,1
87,202500000220917,SOF25-0175,2025-02-21 10:08:00,2025,10:08:00,Friday,725,2XXX East Adams Street,Phoenix,AZ,85034.0,Mountain View Precinct,68168.0,Male,63.0,60s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
88,202500000266735,SOF25-0181,2025-02-21 13:15:00,2025,13:15:00,Friday,411,2XXX West Roosevelt Street,Phoenix,AZ,85009.0,South Mountain Precinct,62061.0,Male,27.0,20s,White,Hispanic,White,No Charge,Gun,1
89,202500000266735,SOF25-0181,2025-02-21 13:15:00,2025,13:15:00,Friday,411,2XXX West Roosevelt Street,Phoenix,AZ,85009.0,South Mountain Precinct,62063.0,Female,26.0,20s,White,Hispanic,White,No Charge,Gun,1
90,202500000266735,SOF25-0181,2025-02-21 13:15:00,2025,13:15:00,Friday,411,2XXX West Roosevelt Street,Phoenix,AZ,85009.0,South Mountain Precinct,62065.0,Female,5.0,<20,White,Hispanic,White,No Charge,Gun,1
91,202500000266735,SOF25-0181,2025-02-21 13:15:00,2025,13:15:00,Friday,411,2XXX West Roosevelt Street,Phoenix,AZ,85009.0,South Mountain Precinct,62067.0,Male,3.0,<20,White,Hispanic,White,No Charge,Gun,1
92,202500000266735,SOF25-0181,2025-02-21 13:15:00,2025,13:15:00,Friday,411,2XXX West Roosevelt Street,Phoenix,AZ,85009.0,South Mountain Precinct,62069.0,Male,1.0,<20,White,Hispanic,White,No Charge,Gun,1
93,202500000271928,SOF25-0044,2025-02-22 00:38:00,2025,00:38:00,Saturday,224,1XXX West Kerry Lane,Phoenix,AZ,85027.0,Black Mountain Precinct,61558.0,Male,20.0,20s,White,Non-Hispanic,White,Traffic Criminal,Impact Munitions,1
94,202500000272729,SOF25-0046,2025-02-22 11:08:00,2025,11:08:00,Saturday,932,1XXXX North 51st Avenue,Glendale,AZ,85306.0,Cactus Park Precinct,61800.0,Male,19.0,<20,White,Non-Hispanic,White,No Charge,Impact Munitions,1
95,202500000276657,SOF25-0053,2025-02-22 21:50:00,2025,21:50:00,Saturday,222,2XX East Joan De Arc Avenue,Phoenix,AZ,85022.0,Black Mountain Precinct,61593.0,Male,49.0,40s,White,Non-Hispanic,White,Criminal Felony,Gun,1
96,202500000276657,SOF25-0053,2025-02-22 21:50:00,2025,21:50:00,Saturday,222,2XX East Joan De Arc Avenue,Phoenix,AZ,85022.0,Black Mountain Precinct,61595.0,Female,46.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
97,202500000276657,SOF25-0053,2025-02-22 21:50:00,2025,21:50:00,Saturday,222,2XX East Joan De Arc Avenue,Phoenix,AZ,85022.0,Black Mountain Precinct,61598.0,Female,16.0,<20,White,Non-Hispanic,White,No Charge,Gun,1
98,202500000276657,SOF25-0053,2025-02-22 21:50:00,2025,21:50:00,Saturday,222,2XX East Joan De Arc Avenue,Phoenix,AZ,85022.0,Black Mountain Precinct,61600.0,Female,58.0,50s,White,Non-Hispanic,White,No Charge,Gun,1
99,202500000274085,SOF25-0072,2025-02-22 13:10:00,2025,13:10:00,Saturday,725,2XXX East Roosevelt Street,Phoenix,AZ,85008.0,Mountain View Precinct,61681.0,Male,21.0,20s,White,Hispanic,White,No Charge,Gun,1
100,202500000272694,SOF25-0074,2025-02-22 07:20:00,2025,07:20:00,Saturday,724,4XXX East Mcdowell Road,Phoenix,AZ,85008.0,Mountain View Precinct,61684.0,Male,37.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Impact Munitions,1
101,202500000275022,SOF25-0075,2025-02-22 16:13:00,2025,16:13:00,Saturday,736,1XXX East Monte Vista Road,Phoenix,AZ,85006.0,Mountain View Precinct,61537.0,Male,42.0,40s,White,Hispanic,White,Criminal Misdemeanor,Gun,1
102,202500000275956,SOF25-0076,2025-02-22 19:02:00,2025,19:02:00,Saturday,734,2XXX West Catalina Drive,Phoenix,AZ,85015.0,Mountain View Precinct,61686.0,Male,59.0,50s,White,Hispanic,White,Criminal Misdemeanor,Gun,1
103,202500000274146,SOF25-0077,2025-02-22 14:07:00,2025,14:07:00,Saturday,736,4XXX North 7th Avenue,Phoenix,AZ,85013.0,Mountain View Precinct,61688.0,Male,21.0,20s,Black,Non-Hispanic,Black or African American,Criminal Misdemeanor,Impact Munitions,1
104,202500000272245,SOF25-0086,2025-02-22 02:45:00,2025,02:45:00,Saturday,823,4XXX North Maryvale Parkway,Phoenix,AZ,85031.0,Maryvale/Estrella Precinct,61721.0,Male,38.0,30s,American Indian / Alaskan Native,Non-Hispanic,Other,Criminal Felony,Impact Munitions,1
105,202500000266374,SOF25-0098,2025-02-22 00:42:00,2025,00:42:00,Saturday,625,7XXX North Black Canyon Highway,Phoenix,AZ,85015.0,Desert Horizon Precinct,61712.0,Male,34.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
106,202500000266374,SOF25-0098,2025-02-22 00:42:00,2025,00:42:00,Saturday,625,7XXX North Black Canyon Highway,Phoenix,AZ,85015.0,Desert Horizon Precinct,61765.0,Female,42.0,40s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
107,202500000266374,SOF25-0098,2025-02-22 00:42:00,2025,00:42:00,Saturday,625,7XXX North Black Canyon Highway,Phoenix,AZ,85015.0,Desert Horizon Precinct,61767.0,Female,25.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
108,202500000272723,SOF25-0180,2025-02-22 19:40:00,2025,19:40:00,Saturday,223,1XXXX North 7th Street,Phoenix,AZ,85014.0,Black Mountain Precinct,62059.0,Male,39.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
109,202500000271966,SOF25-0253,2025-02-22 00:42:00,2025,00:42:00,Saturday,611,8XXX North Black Canyon Highway,Phoenix,AZ,85021.0,Desert Horizon Precinct,61712.0,Male,34.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
